StatisticMeasure|Naive Bayes|Random Forest|SVM|KNN|My Method
Accuracy|0.9574430533230693|0.8908338884080459|0.9342897902149966|0.712|0.96045940243382
Precision|0.9574430533230693|0.8908338884080459|0.9342897902149966|0.712|0.96045940243382
Recall|0.9574430533230693|0.8908338884080459|0.9342897902149966|0.712|0.96045940243382
F-Measure|0.9574430533230693|0.8908338884080459|0.9342897902149966|0.712|0.96045940243382
